descriptor_id,reference_key,implementation_version,exact_expression,scientific_definition,base_terms,coefficients,coefficient_interpretation,normalization,mixture_or_contrast_rule,invalid_or_missing_behavior,unit_or_range
aem__cation_is_backbone_bound_fraction,aem__cation_is_backbone_bound_fraction,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(backbone_flags)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Fraction of detected ionogenic sites within one graph bond of an attachment or aromatic anchor.,"backbone_flags, float, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_is_pendant_fraction,aem__cation_is_pendant_fraction,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(pendant_flags)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Fraction of detected ionogenic sites at least two graph bonds from the selected attachment or aromatic anchor.,"float, np, pendant_flags",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_localization_penalty,aem__cation_localization_penalty,aem-reference-v1.0.0,"weighted_scalar_merge(cation_localization_penalty; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed sum of backbone-bound fraction, one-half of cyclic-cation fraction, and one-quarter of the steric-hindrance summary.",cation_localization_penalty,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_to_anchor_distance_mean,aem__cation_to_anchor_distance_mean,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(anchor_dists)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Mean shortest graph-topological distance from each detected ionogenic site to a repeat-unit attachment atom; aromatic atoms are used as fallback anchors.,"anchor_dists, float, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_to_anchor_distance_min,aem__cation_to_anchor_distance_min,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.min(anchor_dists)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Minimum shortest graph-topological distance from a detected ionogenic site to a repeat-unit attachment atom; aromatic atoms are used as fallback anchors.,"anchor_dists, float, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_to_aromatic_distance_mean,aem__cation_to_aromatic_distance_mean,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(aromatic_dists)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Mean shortest graph-topological distance from each detected ionogenic site to the nearest aromatic atom.,"aromatic_dists, float, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_to_cation_distance_mean,aem__cation_to_cation_distance_mean,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(cation_distances)) if cation_distances else 0.0; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Mean pairwise shortest graph-topological distance among detected ionogenic sites; zero when fewer than two sites are present.,"cation_distances, float, np",0.0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__channel_index,aem__channel_index,aem-reference-v1.0.0,"weighted_scalar_merge(channel_index; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed weighted structural combination of free-volume-related, water-network, cation-accessibility, hydration-overlap, and hydration/transport-window summaries, adjusted by flexibility and cation-localization terms.",channel_index,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cyclic_cation_fraction,aem__cyclic_cation_fraction,aem-reference-v1.0.0,"weighted_scalar_merge(ring_cation_fraction; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Fraction of detected ionogenic sites located in a ring.,ring_cation_fraction,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__effective_ion_site_density,aem__effective_ion_site_density,aem-reference-v1.0.0,"weighted_scalar_merge(cation_density; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Effective detected cation or ionogenic-site count divided by repeat-unit heavy-atom count.,cation_density,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__ether_free_backbone,aem__ether_free_backbone,aem-reference-v1.0.0,"weighted_scalar_merge(float(aryl_ether_count == 0 and ether_count == 0); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary indicator equal to one when neither ether nor aryl-ether motifs are detected.,"aryl_ether_count, ether_count, float",0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__ether_motif_density,aem__ether_motif_density,aem-reference-v1.0.0,"weighted_scalar_merge(ether_count / heavy_atoms; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Number of ether motifs divided by repeat-unit heavy-atom count.,"ether_count, heavy_atoms",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__fluorination,aem__fluorination,aem-reference-v1.0.0,"weighted_scalar_merge(fluorine_fraction; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Fraction of repeat-unit atoms that are fluorine.,fluorine_fraction,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__free_volume,aem__free_volume,aem-reference-v1.0.0,"weighted_scalar_merge(free_volume_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Sum of spiro atoms, bridgehead atoms, fluorine atoms, and one-half of the sp3-heavy-atom contribution, divided by repeat-unit heavy-atom count plus one.",free_volume_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydration_transport_window,aem__hydration_transport_window,aem-reference-v1.0.0,"weighted_scalar_merge(grotthuss_window_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed structural hydration/transport-window summary combining hydration-overlap, hydrophilic-density, and flexibility terms with steric and hydrophobic penalties.",grotthuss_window_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__has_guanidinium_like,aem__has_guanidinium_like,aem-reference-v1.0.0,"weighted_scalar_merge(exact categorical topology rule implemented by _cation_family_flags; returned key aem__has_guanidinium_like; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary topology indicator for a guanidinium-like motif.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__has_imidazolium_like,aem__has_imidazolium_like,aem-reference-v1.0.0,"weighted_scalar_merge(exact categorical topology rule implemented by _cation_family_flags; returned key aem__has_imidazolium_like; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary topology indicator for an imidazolium-like cation.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__has_phosphonium_like,aem__has_phosphonium_like,aem-reference-v1.0.0,"weighted_scalar_merge(exact categorical topology rule implemented by _cation_family_flags; returned key aem__has_phosphonium_like; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary topology indicator for a phosphonium-like cation.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__has_piperidinium_like,aem__has_piperidinium_like,aem-reference-v1.0.0,"weighted_scalar_merge(exact categorical topology rule implemented by _cation_family_flags; returned key aem__has_piperidinium_like; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary topology indicator for a piperidinium-like cation.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__has_pyridinium_like,aem__has_pyridinium_like,aem-reference-v1.0.0,"weighted_scalar_merge(exact categorical topology rule implemented by _cation_family_flags; returned key aem__has_pyridinium_like; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary topology indicator for a pyridinium-like cation.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__has_pyrrolidinium_like,aem__has_pyrrolidinium_like,aem-reference-v1.0.0,"weighted_scalar_merge(exact categorical topology rule implemented by _cation_family_flags; returned key aem__has_pyrrolidinium_like; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary topology indicator for a pyrrolidinium-like cation.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__has_quaternary_ammonium_like,aem__has_quaternary_ammonium_like,aem-reference-v1.0.0,"weighted_scalar_merge(exact categorical topology rule implemented by _cation_family_flags; returned key aem__has_quaternary_ammonium_like; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary topology indicator for a quaternary-ammonium-like cation not assigned to a more specific detected ring class.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hofmann_e2_risk,aem__hofmann_e2_risk,aem-reference-v1.0.0,"weighted_scalar_merge(hofmann_e2_risk_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed heuristic combination of beta-hydrogen accessibility, cyclic-cation fraction, and pendant-site fraction.",hofmann_e2_risk_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydration_shell_overlap,aem__hydration_shell_overlap,aem-reference-v1.0.0,"weighted_scalar_merge(hydration_shell_overlap_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed structural combination of the water-network, pendant-site, anchor-distance, and oxygen-rich spacer summaries, penalized by hydrophobicity and cation localization.",hydration_shell_overlap_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydrophilic_density,aem__hydrophilic_density,aem-reference-v1.0.0,"weighted_scalar_merge(hydrophilic_density; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Heteroatom count plus fixed contributions from detected ionogenic sites, hydroxyl motifs, and nearby oxygen atoms, divided by repeat-unit heavy-atom count.",hydrophilic_density,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__hydrophobicity,aem__hydrophobicity,aem-reference-v1.0.0,"weighted_scalar_merge(hydrophobicity_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Mean of non-negative RDKit logP, aromatic-atom fraction, fluorine fraction, and one minus the sp3-carbon fraction.",hydrophobicity_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__ionogenic_site_count,aem__ionogenic_site_count,aem-reference-v1.0.0,"weighted_scalar_merge(n_ionogenic; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Number of detected cationic or neutral precursor ionogenic sites in the repeat unit.,n_ionogenic,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__ketone_motif_density,aem__ketone_motif_density,aem-reference-v1.0.0,"weighted_scalar_merge(ketone_count / heavy_atoms; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Number of ketone motifs divided by repeat-unit heavy-atom count.,"heavy_atoms, ketone_count",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__local_charge_density,aem__local_charge_density,aem-reference-v1.0.0,"weighted_scalar_merge(cation_density; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Effective detected cation or ionogenic-site count divided by repeat-unit heavy-atom count.,cation_density,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__multication_repeat,aem__multication_repeat,aem-reference-v1.0.0,"weighted_scalar_merge(float(effective_site_count >= 2); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Binary indicator equal to one when the effective ionogenic-site count is at least two.,"effective_site_count, float",2,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
